MOTIFS_ID,LENGTH
M344,4
M320,4
M316,4
M292,4
M286,4
M246,5
M247,5
M333,5
M307,5
M297,5
M275,5
M354,6
M250,6
M254,6
M261,6
M271,6
M256,6
M298,6
M176,7
M160,7
M161,7
M162,7
M163,7
M164,7
M165,7
M166,7
M167,7
M168,7
M169,7
M170,7
M171,7
M172,7
M173,7
M174,7
M184,7
M182,7
M181,7
M179,7
M159,7
M175,7
M178,7
M177,7
M158,7
M148,7
M156,7
M128,7
M130,7
M131,7
M132,7
M133,7
M135,7
M137,7
M138,7
M139,7
M140,7
M141,7
M142,7
M143,7
M144,7
M145,7
M146,7
M187,7
M149,7
M150,7
M151,7
M153,7
M154,7
M155,7
M157,7
M189,7
M202,7
M193,7
M227,7
M228,7
M229,7
M230,7
M231,7
M232,7
M234,7
M235,7
M236,7
M238,7
M239,7
M241,7
M242,7
M243,7
M244,7
M262,7
M273,7
M290,7
M291,7
M318,7
M319,7
M348,7
M349,7
M226,7
M225,7
M224,7
M223,7
M194,7
M195,7
M196,7
M198,7
M199,7
M201,7
M127,7
M203,7
M204,7
M206,7
M208,7
M190,7
M209,7
M211,7
M213,7
M214,7
M215,7
M216,7
M217,7
M218,7
M219,7
M220,7
M221,7
M222,7
M210,7
M126,7
M001,7
M124,7
M039,7
M040,7
M041,7
M042,7
M043,7
M044,7
M045,7
M046,7
M047,7
M048,7
M049,7
M050,7
M051,7
M052,7
M053,7
M054,7
M055,7
M056,7
M125,7
M058,7
M059,7
M060,7
M061,7
M062,7
M063,7
M064,7
M065,7
M066,7
M067,7
M037,7
M068,7
M036,7
M034,7
M002,7
M003,7
M004,7
M005,7
M007,7
M008,7
M009,7
M011,7
M012,7
M013,7
M014,7
M015,7
M016,7
M017,7
M018,7
M019,7
M020,7
M021,7
M022,7
M023,7
M024,7
M025,7
M026,7
M027,7
M028,7
M029,7
M030,7
M031,7
M032,7
M035,7
M069,7
M057,7
M147,7
M087,7
M088,7
M089,7
M090,7
M091,7
M092,7
M093,7
M094,7
M095,7
M114,7
M096,7
M097,7
M113,7
M098,7
M099,7
M112,7
M100,7
M101,7
M111,7
M102,7
M103,7
M104,7
M105,7
M109,7
M115,7
M086,7
M083,7
M123,7
M072,7
M121,7
M073,7
M120,7
M084,7
M075,7
M076,7
M108,7
M077,7
M082,7
M078,7
M117,7
M081,7
M079,7
M116,7
M118,8
M129,8
M110,8
M122,8
M006,8
M272,8
M119,8
M317,8
M010,8
M136,8
M134,8
M070,8
M107,8
M191,8
M071,8
M197,8
M188,8
M200,8
M186,8
M185,8
M183,8
M205,8
M207,8
M180,8
M212,8
M074,8
M085,8
M106,8
M192,8
M080,8
M240,8
M237,8
M033,8
M152,8
M233,8
M038,8
M353,9
M352,9
M350,9
M274,9
M330,9
M329,9
M279,10
M331,10
M332,10
M346,10
M351,10
M269,11
M345,11
M347,11
M296,11
M343,11
M299,12
M300,12
M323,13
M260,13
M328,14
